feature-id	tissue_mean	tissue_std	tissue_rank	survival_mean	survival_std	survival_rank	inter_mean	inter_std	inter_rank
Rumi-e15b6ef	0.1591254793150259	0.46156736768729617	200.0	-0.7990444065470017	1.571346831551966	128.0	-0.12233968048883707	0.7167315395159819	134.0
Anae-31c7bc0	-0.19528126450144156	0.44103903830198465	109.0	-0.06122708383506597	3.0591482838121045	167.0	-0.11423255843290027	0.6122985688959264	135.0
Haem-2903f2e	-0.9316129294065085	1.1122110674039802	31.0	-4.617000972579948	6.114295074645555	19.0	-0.10652348958103551	1.7755617155096752	136.0
Rumi-9cdb9db	-0.1443081881689136	0.39716720148209755	124.0	-1.4797474096008276	5.228340101570062	100.0	-0.10509107360041192	0.8335939769680221	137.0
Lach-17fdda7	0.44072442549113977	0.4716554736973836	266.0	3.0807166934660644	2.1030647936952223	288.0	-0.09924522260716699	0.8210265562983599	138.0
Dore-edc06e5	-0.04621882549524554	0.5066618028704177	154.0	3.7194619902024035	3.353979031398632	301.0	-0.0972848215681484	0.6305657078744975	139.0
Inte-9eaff8c	-0.37002289619114476	0.6546301994867143	74.0	4.324399985518835	2.110323955394806	316.0	-0.0960597946235718	0.7937763241537772	140.0
Lach-777dafa	-0.06216401952143349	0.43893035685665355	145.0	-2.039659247259832	3.961006866485586	80.0	-0.09094924459545185	0.7507754033403192	141.0
Lach-18f557e	-0.182658567074151	0.8696934583390946	114.0	-2.616406436853127	4.828470871897744	54.0	-0.08984497512417823	1.3799910798194248	142.0
Erys-16684ad	0.047624214405048736	0.8881789162251424	175.0	4.3438052774487135	2.95046957194662	319.0	-0.08014624655144714	1.3275562076982572	143.0
Inte-7d43ad5	0.16986211207115132	0.6163629723165311	201.0	6.11765327365307	0.6750000733340754	335.0	-0.07771392562014545	0.773158562810831	144.0
Bifi-3f3a0ea	0.5180188598438606	0.44227669385979257	280.0	-7.562983098365926	2.354115980801047	2.0	-0.07298155431947236	0.7065641936386347	145.0
Akke-dfa833b	0.30324869062446547	0.5162981204909419	235.0	1.1801612283192977	2.820834150969909	220.0	-0.052974495146556104	0.7372811513316688	146.0
Egge-06f4e7c	-1.4329613479244265	0.6674093251936398	12.0	0.37391273837045286	2.133200633991402	180.0	-0.04934913109116087	1.216508279249334	147.0
Bact-15ceb00	0.17046490858483038	1.0154698985322028	202.0	4.343610576890259	3.647839512889289	318.0	-0.045097327082280515	1.311928840358068	148.0
Lach-a00b4fd	-0.005492342747913398	0.38265043578799113	162.0	1.4592233283508658	3.2170086882086593	229.0	-0.03582226677849661	0.5035006479003903	149.0
Rumi-d5d977a	0.09911797142313052	0.7405107796580895	187.0	-2.251616105974519	5.667187883523471	73.0	-0.03512601606316103	1.169128223062974	150.0
Rumi-9cda306	-0.024005606138187165	0.5779827857965142	160.0	1.8615339094301704	2.7879580401018855	251.0	-0.03460116299613518	1.08444009741399	151.0
Mass-cabd729	-0.7940941537217341	0.8558709858927653	38.0	0.18340433543104473	2.422734174643645	173.0	-0.028712466180609453	1.9729480334284788	152.0
Copr-9cb986f	-0.20834498921625916	0.5041315763159385	107.0	1.1207631880649718	4.070087306672976	216.0	-0.02647386234745416	0.8416765193111423	153.0
Rumi-e9398bc	-0.41224487906796015	0.7245046854192703	69.0	-0.7952968063203314	2.6596744646013657	129.0	-0.024738660498711512	1.032913760769563	154.0
Faec-c728ad6	0.03936051435216629	0.39017180812016156	174.0	-0.6941288933921927	2.948192092974758	134.0	-0.024486571806602558	0.6415813293554873	155.0
Copr-bc9350a	0.0009761579083233088	0.4385055145351047	164.0	3.787158173864488	2.9979677797390787	304.0	-0.0007448159150288731	0.7437641312329285	156.0
